date,sort_date,year,type,period,non_expert_title,title,place,public_text,expert_text,source_label,source_url,source_label_2,source_url_2,source_label_3,source_url_3,local_backup
2026,2026-06,2026,publication,IBEC Barcelona,How to research the interplay of physics and biology better,Advancing mechanobiology from single molecules to complex cellular systems,Nature Nanotechnology,"We still understand far too little about how physical forces shape living tissues. With my co-authors, I argue for better experimental models, measurement tools, and theories to connect mechanics from molecules to tissues.","We argue for an integrated, multiscale mechanobiology that combines physiologically relevant multicellular reference systems, quantitative mechanical perturbation and readout, and theory/AI to connect molecular mechanics with tissue- and organism-level function.",Nature Nanotechnology,https://www.nature.com/articles/s41565-026-02179-0,,,,,
2026,2026-02,2026,publication,IBEC Barcelona,DNA particles as tiny mechanical probes in tissues,Mechanically programmable DNA hydrogel microparticles for 3D cellular systems,Advanced Materials,The main author used DNA as a building block for micrometre-sized particles with controlled mechanical properties. I contributed to their mechanical characterization; such particles can serve as embedded probes for how 3D tissues feel and deform.,"Fully DNA-based, sequence-programmable hydrogel microparticles with tunable size, stiffness, viscoelasticity, and cell-adhesive ligands can be integrated into fibroblast spheroids to probe and perturb mechanics in 3D culture.",,,,,,,archive/publications/2026-advanced-materials-dna-hydrogel-microparticles/
2026,2026-01,2026,patent,IBEC Barcelona,,Apparatus and method for determining mechanical properties of a system,"US Patent 12,571,711",I include this patent because it captures the applied side of my work on measuring mechanical properties in biological systems.,,,,,,,,archive/sources/2026-us-patent-12571711/
2025-10 / 2025-11,2025-10,2025,publication,IBEC Barcelona,How tiny carbon pores sort molecules,Molecular determinants of solvent nanoseparation by nanoporous carbon materials,American Chemical Society Material Letters,"Computer simulations show that carbon materials separate solvents best when their pores are just large enough for selected molecules to pass. I contributed modelling that tracks molecular pathways through the material, helping explain how pore size and surface chemistry control separation.","Coarse-grained simulations show optimal solvent nanoseparation near the size-exclusion threshold, with surface oxidation strongly modulating polar-molecule transport. My Markov-state modelling contribution maps transport pathways and links separation performance to pore architecture and surface chemistry.",American Chemical Society Material letters,https://pubs.acs.org/doi/10.1021/acsmaterialslett.5c01225,,,,,archive/publications/2025-acs-nanoseparation/
2025,2025-07,2025,publication,IBEC Barcelona,How cells sense soft and slow materials,Piezo1 regulates the mechanotransduction of soft matrix viscoelasticity,Nature Communications,"This study asks how cells sense materials that are not just soft, but also relax over time. It identifies Piezo1 as part of the machinery that helps cells respond to viscoelastic environments.","The work connects Piezo1-mediated mechanotransduction to cellular responses on soft viscoelastic matrices, indicating that ion-channel-based mechanosensing contributes to how cells decode time-dependent matrix mechanics.",Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC12528374/,,,,,archive/publications/2025-piezo1-viscoelasticity/
19/06/2025,19/06/2025,2025,publication,IBEC Barcelona,Faster mechanical maps with AFM,High-speed quantitative nanomechanical mapping by photothermal off-resonance AFM,Small,We present an AFM method that maps mechanical properties much faster by moving the probe with light instead of relying only on slower piezo motion. This makes quantitative nanomechanical mapping more practical for many materials.,"Photothermal off-resonance tapping accelerates force-spectroscopy-based nanomechanical mapping by at least an order of magnitude. By modelling the probe’s thermal and mechanical response, the method recovers quantitative probe motion for rapid mapping of polymeric and metallic samples.",Small,https://onlinelibrary.wiley.com/doi/full/10.1002/smll.202507640,,,,,archive/publications/2025-port-afm/
2024-04,2024-04,2024,milestone,IBEC Barcelona,,Begin IBEC postdoc,,,,,,,,,,
2024-03,31/03/2024,2023,milestone,Nanosurf AG,,End Nanosurf AG,,,,,,,,,,
2024,2024-03,2024,publication,Nanosurf AG,Calibrating hollow AFM cantilevers,Hydrodynamic function and spring constant calibration of FluidFM micropipette cantilevers,Microsystems & Nanoengineering,"FluidFM cantilevers are tiny hollow force sensors, but their special geometry makes calibration difficult. This work provides a more reliable way to determine their stiffness, which is essential for quantitative force and cell measurements.",The study experimentally determines the hydrodynamic function of hollow FluidFM micropipette cantilevers and adapts a spring-constant calibration that uses air/liquid resonance frequencies. This avoids noisy Q-factor estimates in the Sader method and improves force calibration.,DOI,https://doi.org/10.1038/s41378-023-00629-6,,,,,archive/publications/2024-microsystems-nanoengineering-fluidfm/
26/02/2024,26/02/2024,2024,publication,Nanosurf AG,Weighing cells and listening to their mechanics,"Monitoring the mass, eigenfrequency, and quality factor of mammalian cells",Nature Communications,"We show that a vibrating microcantilever can measure not only cell mass, but also how a cell mechanically resonates and dissipates energy. This links cell growth and cell mechanics in one measurement.","Ångström-scale microcantilever oscillations are used to monitor living cells across applied frequency ranges, extracting total mass, eigenfrequency, and quality factor. The work shows when apparent mass depends on cellular mechanical response and damping.",Nature Communications,https://www.nature.com/articles/s41467-024-46056-7,,,,,archive/publications/2024-nature-communications-cell-resonance/
2023,01/12/2023,2023,milestone,Nanosurf AG,,End ETH guest,,,,,,,,,,
2023,2023-02,2023,publication,Nanosurf AG,What makes water pass through tiny channels,Entropic barrier of water permeation through single-file channels,Communications Chemistry,This paper looks at the energetic cost for water molecules to pass single-file through narrow biological channels. It helps explain how aquaporins move water so quickly while still facing molecular-scale barriers.,Activation-energy measurements and single-channel permeability estimates for Aquaporin-1 are used to estimate the entropic contribution to water permeation. The result links a small entropic barrier to an efficient water-conduction rate of around 10^10 molecules per second.,DOI,https://doi.org/10.1038/s42004-023-00919-0,,,,,archive/publications/2023-communications-chemistry-water-permeation/
06/01/2023,06/01/2023,2023,publication,Nanosurf AG,Making cell balances more sensitive,Tailoring microcantilever sensitivity to monitor single adherent living cells,Nano Letters,This work improves how microcantilevers can monitor single adherent living cells by tuning their sensitivity. Better cantilevers make it easier to follow small changes in cell mass or mechanics over time.,"The study tailors microcantilever sensitivity for monitoring single adherent cells, improving the mechanical readout needed for picobalance-style measurements. It connects cantilever design and calibration to quantitative single-cell monitoring.",ACS paper,https://pubs.acs.org/doi/10.1021/acs.nanolett.2c04198,,,,,archive/publications/2023-nano-letters-cantilevers/
17/11/2022,17/11/2022,2022,talk,Nanosurf AG,,What does life weigh?,Physikalische Gesellschaft Zürich,"I gave or contributed to this talk at Physikalische Gesellschaft Zürich. I include it because public explanation and exchange have been part of my scientific work, not a side activity.",,PGZ programme,https://www.pgz.ch/events/ws2223/index.html,,,,,archive/sources/2022-pgz-talk/
22/06/2022,22/06/2022,2022,publication,Nanosurf AG,Watching single yeast cells grow by weight,High-resolution mass measurements of single budding yeast reveal linear growth segments,Nature Communications,"We adapted the picobalance to weigh single budding yeast cells in real time. The measurements revealed that yeast growth is not smooth, but happens in linear segments with changing growth rates.",A modified picobalance reaches about 0.45 pg mass resolution for single Saccharomyces cerevisiae cells under culture conditions while optical microscopy tracks cell-cycle state. Budding cells in S/G2/M increase total mass through sequential linear growth segments with switching rates.,Nature Communications,https://www.nature.com/articles/s41467-022-30781-y,University of Sydney coverage,https://www.sydney.edu.au/news-opinion/news/2022/06/22/the-secret-of-cells-could-be-in-their-yo-yo-like-tendencies0.html,,,archive/publications/2022-nature-communications-yeast-growth/
06/04/2022,06/04/2022,2022,talk,Nanosurf AG,,What can we do to help save the climate?,HAW Hamburg Einstein-Forum,"I gave or contributed to this talk at HAW Hamburg Einstein-Forum. I include it because public explanation and exchange have been part of my scientific work, not a side activity.",,HAW event,https://www.haw-hamburg.de/detail/news/news/show/was-koennen-wir-zur-rettung-des-klimas-beitragen/,,,,,archive/sources/2022-haw-climate-talk/
01/12/2021,01/12/2021,2021,talk,Nanosurf AG,,Fully motorized tip-scanning AFM with photothermal excitation,Materials Research Society,"I gave or contributed to this talk at Materials Research Society. I include it because public explanation and exchange have been part of my scientific work, not a side activity.",,MRS profile,https://www.mrs.org/meetings-events/annual-meetings/archive/profile/Gotthold-Fl%C3%A4schner,,,,,archive/sources/2021-mrs-presentation/
24/07/2021,24/07/2021,2021,talk,Nanosurf AG,,13th EBSA Congress contribution,European Biophysical Societies Association,"I gave or contributed to this talk at European Biophysical Societies Association. I include it because public explanation and exchange have been part of my scientific work, not a side activity.",,EBSA abstract book,https://ebsa.org/files/Congresses/Abstract%20Book_13thEBSACongress-Vienna-July2021.pdf,,,,,archive/sources/2021-ebsa-abstract-book/
2021-07,01/07/2021,2021,milestone,Nanosurf AG,,Begin ETH guest,,,,,,,,,,
21/06/2021,21/06/2021,2021,media,Nanosurf AG,,I have great expectations for biosciences,ETH D-BSSE,"I reflected here on my PhD work, the ETH Medal, the Nature Communications rheology paper, and the move toward Nanosurf AG.",,ETH interview,https://bsse.ethz.ch/news-and-events/d-bsse-news/2021/06/i-have-great-expectations-for-biosciences-to-be-the-big-player-of-our-century.html,,,,,archive/media/2021-eth-interview/
2021-06,01/06/2021,2021,milestone,Nanosurf AG,,Begin Nanosurf AG,,,,,,,,,,
2021-05,31/05/2021,2021,milestone,ETH Zurich,,End ETH postdoc,,,,,,,,,,
27/05/2021,27/05/2021,2021,talk,ETH Zurich,,PicoBalance: mass measurements with DriveAFM,Nanosurf AG webinar,I presented the PicoBalance workflow in this Nanosurf AG webinar. It is a good example of the technology-transfer side of my work: making single-cell mass measurements usable for other labs.,,Nanosurf AG webinar,https://www.nanosurf.com/en/webinar-picobalance-mass-measurements-with-driveafm,,,,,archive/sources/2021-nanosurf-picobalance-webinar/
18/05/2021,18/05/2021,2021,publication,ETH Zurich,Measuring how living cells flow and stiffen,Rheology of rounded mammalian cells over continuous frequencies,Nature Communications,I developed a method to squeeze a rounded living cell gently between two microcantilevers and measure how it responds at high frequencies. This helps reveal how the cell’s internal scaffold controls its mechanical behaviour.,"A parallel-plate microcantilever assay measures the rheology of rounded mammalian cells across roughly 1-40 kHz while co-recording mass and optical data. The response follows a cytoskeleton-dependent power law, and cell size is not correlated with viscoelasticity.",Nature Communications,https://www.nature.com/articles/s41467-021-23158-0,,,,,archive/publications/2021-nature-communications-rheology/
18/02/2021,18/02/2021,2021,media,ETH Zurich,,We also have to convince the incautious,HAW Hamburg,"I discussed pandemic modelling and science communication in this HAW interview, because communication is part of responsible scientific work.",,HAW interview,https://www.haw-hamburg.de/detail/news/news/show/wir-muessen-auch-die-unvorsichtigen-ueberzeugen/,,,,,archive/media/2021-haw-pandemic-interview/
2021,2021-01,2021,milestone,ETH Zurich,,End lecturer,,,,,,,,,,
2020,2020-07,2020,award,ETH Zurich,,ETH Medal for outstanding dissertation,ETH Zurich,I received this distinction during the period shown on the timeline. I include it as a marker of recognition rather than as a separate CV list.,,ETH announcement,https://bsse.ethz.ch/news-and-events/d-bsse-news/2021/05/eth-medals-for-matteo-togninalli-gotthold-flaeschner.html,,,,,archive/sources/2021-eth-medal/
04/06/2020,04/06/2020,2020,patent,ETH Zurich,,Novel methods for the targeted introduction of viruses into cells and tissues,Google Patents,I include this patent because it reflects the practical side of my work: turning measurement ideas and instruments into methods that can travel beyond one lab.,,Google Patents,https://patents.google.com/patent/US20200172933A1/en,,,,,archive/sources/2020-virus-stamping-patent/
28/01/2020,28/01/2020,2020,patent,ETH Zurich,,Controlled environmental system / environmental chamber,Google Patents,I include this patent because it reflects the practical side of my work: turning measurement ideas and instruments into methods that can travel beyond one lab.,,Google Patents,https://patents.google.com/patent/US10545169B2,,,,,archive/sources/2020-environmental-chamber-patent/
2020,2020-01,2020,milestone,ETH Zurich,,Begin ETH postdoc,,,,,,,,,,
2019,2019-12,2019,milestone,ETH Zurich,,End PhD,,,,,,,,,,
14/02/2019,14/02/2019,2019,award,ETH Zurich,,ETH delegate to the Global Young Scientist Summit,ETH Zurich / Singapore,I received this distinction during the period shown on the timeline. I include it as a marker of recognition rather than as a separate CV list.,,ETH Ambassadors,https://ethambassadors.ethz.ch/2019/02/14/nobel-laureates-mentor-the-next-generation-of-young-scientists/,,,,,archive/sources/2019-gyss/
